Year,Month,Quarter,PoliceStation,CrimeCount
2014,7,2014 Q3,Westown,44
2014,7,2014 Q3,Westport,13
2014,7,2014 Q3,Whakatane,69
2014,7,2014 Q3,Whangamata,10
2014,7,2014 Q3,Whanganui,96
2014,7,2014 Q3,Whangaparaoa,31
2014,7,2014 Q3,Whangarei,113
2014,7,2014 Q3,Whitianga,19
2014,7,2014 Q3,Winton,3
2014,7,2014 Q3,Woodville,10
2014,7,2014 Q3,Wyndham,12
2014,8,2014 Q3,Akaroa,1
2014,8,2014 Q3,Alexandra,11
2014,8,2014 Q3,Amberley,8
2014,8,2014 Q3,Arthurs Pass,3
2014,8,2014 Q3,Ashburton,48
2014,8,2014 Q3,Auckland Airport,16
2014,8,2014 Q3,Auckland Central,190
2014,8,2014 Q3,Auckland Harbour Bridge,5
2014,8,2014 Q3,Avondale,146
2014,8,2014 Q3,Balclutha,13
2014,8,2014 Q3,Balmoral,91
2014,8,2014 Q3,Bay View,9
2014,8,2014 Q3,Beachlands CCB,5
2014,8,2014 Q3,Bell Block,11
2014,8,2014 Q3,Benneydale,1
2014,8,2014 Q3,Blenheim,55
2014,8,2014 Q3,Bluff,6
2014,8,2014 Q3,Browns Bay,37
2014,8,2014 Q3,Bulls,5
2014,8,2014 Q3,Cambridge,38
2014,8,2014 Q3,Carterton,8
2014,8,2014 Q3,Chatham Islands,2
2014,8,2014 Q3,Cheviot,3
2014,8,2014 Q3,Christchurch,169
2014,8,2014 Q3,Christchurch Airport,9
2014,8,2014 Q3,Christchurch South,117
2014,8,2014 Q3,Clinton,1
2014,8,2014 Q3,Coromandel,6
2014,8,2014 Q3,Cromwell,20
2014,8,2014 Q3,Dannevirke,30
2014,8,2014 Q3,Darfield,8
2014,8,2014 Q3,Dargaville,19
2014,8,2014 Q3,Dunedin Central,70
2014,8,2014 Q3,Dunedin North,51
2014,8,2014 Q3,Dunedin South,45
2014,8,2014 Q3,Edgecumbe,19
2014,8,2014 Q3,Eketahuna,1
2014,8,2014 Q3,Eltham,14
2014,8,2014 Q3,Fairlie,1
2014,8,2014 Q3,Featherston,12
2014,8,2014 Q3,Feilding,52
2014,8,2014 Q3,Fitzroy CPC,23
2014,8,2014 Q3,Flaxmere,45
2014,8,2014 Q3,Foxton,24
2014,8,2014 Q3,Franz Josef,2
2014,8,2014 Q3,Geraldine,10
2014,8,2014 Q3,Gisborne,122
2014,8,2014 Q3,Glen Innes,87
2014,8,2014 Q3,Glenfield,105
2014,8,2014 Q3,Gore,18
2014,8,2014 Q3,Granity,1
2014,8,2014 Q3,Great Barrier Island,1
2014,8,2014 Q3,Green Island,6
2014,8,2014 Q3,Greymouth,30
2014,8,2014 Q3,Half-Moon Bay,1
2014,8,2014 Q3,Hamilton Central,250
2014,8,2014 Q3,Hamilton East,99
2014,8,2014 Q3,Hampden,5
2014,8,2014 Q3,Hanmer Springs,6
2014,8,2014 Q3,Hastings,130
2014,8,2014 Q3,Havelock,2
2014,8,2014 Q3,Havelock North,21
2014,8,2014 Q3,Hawera,29
2014,8,2014 Q3,Helensville,29
2014,8,2014 Q3,Henderson,169
2014,8,2014 Q3,Highbury,47
2014,8,2014 Q3,Hikurangi,11
2014,8,2014 Q3,Hokitika,13
2014,8,2014 Q3,Hornby,116
2014,8,2014 Q3,Houhora,8
2014,8,2014 Q3,Howick,85
2014,8,2014 Q3,Hunterville,3
2014,8,2014 Q3,Huntly,52
2014,8,2014 Q3,Inglewood,8
2014,8,2014 Q3,Invercargill Central,115
2014,8,2014 Q3,Johnsonville,59
2014,8,2014 Q3,Kaeo,8
2014,8,2014 Q3,Kaiapoi,25
2014,8,2014 Q3,Kaikohe,43
2014,8,2014 Q3,Kaikorai Valley,37
2014,8,2014 Q3,Kaikoura,12
2014,8,2014 Q3,Kaitaia,57
2014,8,2014 Q3,Kamo CPC,28
2014,8,2014 Q3,Kapiti,80
2014,8,2014 Q3,Karamea,2
2014,8,2014 Q3,Katikati,13
2014,8,2014 Q3,Kawakawa,25
2014,8,2014 Q3,Kawerau,42
2014,8,2014 Q3,Kawhia,1
2014,8,2014 Q3,Kerikeri,18
2014,8,2014 Q3,Kilbirnie,58
2014,8,2014 Q3,Kimbolton,2
2014,8,2014 Q3,Kotemaori,2
2014,8,2014 Q3,Kumeu/Huapai,22
2014,8,2014 Q3,Kurow,2
2014,8,2014 Q3,Lake Tekapo,1
2014,8,2014 Q3,Lawrence,3
2014,8,2014 Q3,Leeston,6
2014,8,2014 Q3,Levin,64
2014,8,2014 Q3,Lincoln,14
2014,8,2014 Q3,Linton,14
2014,8,2014 Q3,Lower Hutt,111
2014,8,2014 Q3,Lumsden,4
2014,8,2014 Q3,Lyttelton,11
2014,8,2014 Q3,Mangakino,9
2014,8,2014 Q3,Mangawhai,14
2014,8,2014 Q3,Mangere,125
2014,8,2014 Q3,Mangonui,12
2014,8,2014 Q3,Manurewa,194
2014,8,2014 Q3,Manutuke,3
2014,8,2014 Q3,Martinborough,11
2014,8,2014 Q3,Marton,18
2014,8,2014 Q3,Massey,63
2014,8,2014 Q3,Masterton,79
2014,8,2014 Q3,Matamata,42
2014,8,2014 Q3,Mataura,7
2014,8,2014 Q3,Matawai,2
2014,8,2014 Q3,Maungaturoto,9
2014,8,2014 Q3,Methven,3
2014,8,2014 Q3,Middlemarch,2
2014,8,2014 Q3,Milton,12
2014,8,2014 Q3,Mokau,4
2014,8,2014 Q3,Morrinsville,35
2014,8,2014 Q3,Mosgiel,27
2014,8,2014 Q3,Motueka,32
2014,8,2014 Q3,Mount Maunganui,73
2014,8,2014 Q3,Mount Wellington,98
2014,8,2014 Q3,Murchison,1
2014,8,2014 Q3,Murupara,15
2014,8,2014 Q3,Naenae,65
2014,8,2014 Q3,Napier,136
2014,8,2014 Q3,National Park,7
2014,8,2014 Q3,Nelson Central,96
2014,8,2014 Q3,New Brighton,115
2014,8,2014 Q3,New Lynn,86
2014,8,2014 Q3,New Plymouth Central,25
2014,8,2014 Q3,Newmarket,90
2014,8,2014 Q3,Ngaruawahia,36
2014,8,2014 Q3,Ngatea,9
2014,8,2014 Q3,Norsewood,4
2014,8,2014 Q3,North Shore Policing Centre,84
2014,8,2014 Q3,Nuhaka,2
2014,8,2014 Q3,Oamaru,36
2014,8,2014 Q3,Ohai,1
2014,8,2014 Q3,Ohakune,4
2014,8,2014 Q3,Okato,4
2014,8,2014 Q3,Omakau,3
2014,8,2014 Q3,Omarama,2
2014,8,2014 Q3,Onehunga,101
2014,8,2014 Q3,Onerahi CPC,11
2014,8,2014 Q3,Opotiki,39
2014,8,2014 Q3,Opunake,12
2014,8,2014 Q3,Orewa,43
2014,8,2014 Q3,Ormiston,139
2014,8,2014 Q3,Otahuhu,169
2014,8,2014 Q3,Otaki,30
2014,8,2014 Q3,Otautau,5
2014,8,2014 Q3,Otorohanga,20
2014,8,2014 Q3,Owaka,1
2014,8,2014 Q3,Oxford,9
2014,8,2014 Q3,Paeroa,21
2014,8,2014 Q3,Pahiatua,12
2014,8,2014 Q3,Paihia,16
2014,8,2014 Q3,Palmerston,4
2014,8,2014 Q3,Palmerston North,138
2014,8,2014 Q3,Papakura,119
2014,8,2014 Q3,Papamoa,45
2014,8,2014 Q3,Papanui,135
2014,8,2014 Q3,Patea,4
2014,8,2014 Q3,Picton,13
2014,8,2014 Q3,Piopio,2
2014,8,2014 Q3,Pleasant Point,1
2014,8,2014 Q3,Pongaroa,1
2014,8,2014 Q3,Ponsonby,77
2014,8,2014 Q3,Porangahau,3
2014,8,2014 Q3,Porirua Central,59
2014,8,2014 Q3,Port Chalmers,7
2014,8,2014 Q3,Portobello,3
2014,8,2014 Q3,Pukekohe,84
2014,8,2014 Q3,Putaruru,24
2014,8,2014 Q3,Queenstown,50
2014,8,2014 Q3,Raetihi,10
2014,8,2014 Q3,Raglan,9
2014,8,2014 Q3,Rakaia,4
2014,8,2014 Q3,Ranfurly,2
2014,8,2014 Q3,Rangiora,39
2014,8,2014 Q3,Rawene,7
2014,8,2014 Q3,Reefton,8
2014,8,2014 Q3,Richmond,96
2014,8,2014 Q3,Riversdale,2
2014,8,2014 Q3,Riverton,9
2014,8,2014 Q3,Rolleston,17
2014,8,2014 Q3,Ross,2
2014,8,2014 Q3,Rotorua,181
2014,8,2014 Q3,Roxburgh,1
2014,8,2014 Q3,Ruakaka,9
2014,8,2014 Q3,Ruatoria,3
2014,8,2014 Q3,Ruawai,8
2014,8,2014 Q3,Russell,4
2014,8,2014 Q3,Shannon,3
2014,8,2014 Q3,St Andrews,2
2014,8,2014 Q3,Stratford,13
2014,8,2014 Q3,Taihape,15
2014,8,2014 Q3,Tairua,3
2014,8,2014 Q3,Takaka,10
2014,8,2014 Q3,Takapuna,50
2014,8,2014 Q3,Taneatua,3
2014,8,2014 Q3,Tapanui,7
2014,8,2014 Q3,Taradale,38
2014,8,2014 Q3,Taumarunui,35
2014,8,2014 Q3,Taupo,68
2014,8,2014 Q3,Tauranga,103
2014,8,2014 Q3,Tauranga South,73
2014,8,2014 Q3,Te Anau,1
2014,8,2014 Q3,Te Araroa,1
2014,8,2014 Q3,Te Aroha,18
2014,8,2014 Q3,Te Awamutu,48
2014,8,2014 Q3,Te Kaha,1
2014,8,2014 Q3,Te Karaka,8
2014,8,2014 Q3,Te Kauwhata,26
2014,8,2014 Q3,Te Kuiti,17
2014,8,2014 Q3,Te Puke,37
2014,8,2014 Q3,Temuka,12
2014,8,2014 Q3,Thames,27
2014,8,2014 Q3,Timaru,55
2014,8,2014 Q3,Tokomaru Bay,2
2014,8,2014 Q3,Tokoroa,56
2014,8,2014 Q3,Tolaga Bay,8
2014,8,2014 Q3,Tuakau,60
2014,8,2014 Q3,Tuatapere,7
2014,8,2014 Q3,Turangi,27
2014,8,2014 Q3,Twizel,2
2014,8,2014 Q3,Upper Hutt,71
2014,8,2014 Q3,Waiheke Island,14
2014,8,2014 Q3,Waihi,39
2014,8,2014 Q3,Waikari,3
2014,8,2014 Q3,Waikouaiti,6
2014,8,2014 Q3,Waimate,17
2014,8,2014 Q3,Wainuiomata,49
2014,8,2014 Q3,Waiouru,1
2014,8,2014 Q3,Waipawa,12
2014,8,2014 Q3,Waipu,7
2014,8,2014 Q3,Waipukurau,27
2014,8,2014 Q3,Wairoa,18
2014,8,2014 Q3,Waitangirua,99
2014,8,2014 Q3,Waitara,26
2014,8,2014 Q3,Wakefield,12
2014,8,2014 Q3,Wanaka,21
2014,8,2014 Q3,Warkworth,22
2014,8,2014 Q3,Waverley,3
2014,8,2014 Q3,Wellington Central,170
2014,8,2014 Q3,Wellsford,12
2014,8,2014 Q3,Westown,56
2014,8,2014 Q3,Westport,15
2014,8,2014 Q3,Whakatane,64
2014,8,2014 Q3,Whangamata,9
2014,8,2014 Q3,Whanganui,120
2014,8,2014 Q3,Whangaparaoa,27
2014,8,2014 Q3,Whangarei,120
2014,8,2014 Q3,Whitianga,17
2014,8,2014 Q3,Winton,13
2014,8,2014 Q3,Woodville,4
2014,8,2014 Q3,Wyndham,15
2014,9,2014 Q3,Akaroa,3
2014,9,2014 Q3,Alexandra,5
2014,9,2014 Q3,Amberley,7
2014,9,2014 Q3,Ashburton,34
2014,9,2014 Q3,Auckland Airport,23
2014,9,2014 Q3,Auckland Central,213
2014,9,2014 Q3,Auckland Harbour Bridge,3
2014,9,2014 Q3,Avondale,155
2014,9,2014 Q3,Balclutha,11
2014,9,2014 Q3,Balmoral,106
2014,9,2014 Q3,Bay View,8
2014,9,2014 Q3,Beachlands CCB,9
2014,9,2014 Q3,Bell Block,11
2014,9,2014 Q3,Benneydale,2
2014,9,2014 Q3,Blenheim,60
2014,9,2014 Q3,Bluff,10
2014,9,2014 Q3,Browns Bay,40
2014,9,2014 Q3,Bulls,11
2014,9,2014 Q3,Cambridge,29
