Police_station,address
Rangiora Police Station,"
            309 High St,Rangiora"
Ranui Community Constable,"
            c/- Massey Community Policing Centre
,390 Don Buck Rd, Massey"
Rawene Police Station,"
            19 Parnell St,Rawene"
Reefton Police Station,"
            86 Broadway,Reefton"
Renwick Highway Patrol,"
            65A High St,Renwick,Renwick 7243"
Rescue Coordination Centre New Zealand,"
            Avalon Business Centre,
Percy Cameron Street,
Avalon
,Lower Hutt"
Richmond Police Station,"
            196 Queen St,Richmond"
Riversdale Police Station,"
            1 Lincoln St,Riversdale"
Riverton Police Station,"
            31 Napier St,Riverton"
Rolleston Police Station,"
            69 Tennyson St,Rolleston"
Ross Police Station,"
            23 Moorhouse St,Ross"
Rotorua Police Station,"
            1190-1214 Fenton St,Rotorua"
Roxburgh Police Station,"
            8 Ferry Rd,Roxburgh"
Royal New Zealand Police College,"
            Papakowhai Road,Porirua"
Ruakaka Police Station,"
            Peter Snell Rd,Ruakaka"
Ruatoria Police Station,"
            193 Waiomatatini Rd,Ruatoria"
Ruawai Police Station,"
            7 Jellicoe St,Ruawai"
Russell Police Station,"
            37 The Strand,Russell"
Saint Andrews Police Station,"
            22 Waimate Hwy,Saint Andrews"
Shannon Police Station,"
            25 Ballance St,Shannon"
South Motorway Base Traffìc Safety Branch,"
            14 Tecoma St,Ellerslie,Auckland"
Southern District Headquarters,"
            25 Great King St,Dunedin Central,DUNEDIN"
Stoke Police Station,"
            3 Bail St,Stoke"
Stratford Police Station,"
            43 Miranda St,Stratford"
Taihape Police Station,"
            6 Tui St,Taihape"
Tairua Police Station,"
            282 Main Rd,Tairua,Waikato East"
Takaka Police Station,"
            155 Commercial St,Takaka"
Takapuna Police Station,"
            17 Anzac St,Takapuna"
Taneatua Police Station,"
            58 Tuhoe St,Taneatua"
Tapanui Police Station,"
            1 Station Rd,Tapanui,West Otago 9542"
Taradale Police Station,"
            209 Gloucester St,Taradale"
Tasman District Headquarters,"
            188 Bridge St,Nelson,NELSON"
Taumarunui Police Station,"
            8 Turaki St,Taumarunui"
Taupo Police Station,"
            21 Story Pl,Taupo"
Tauranga Central Police Station,"
            11 Monmouth St,Tauranga"
Tauranga Community Constable,"
            11 Monmouth St,Tauranga"
Tauranga Prosecutions,"
            11 Monmouth St,Tauranga,Tauranga"
Tauranga South Police Station,"
            244 Chadwick Road, Greerton,Gate Pa,Tauranga"
Te Anau  Police Station,"
            196 Milford Rd,Te Anau"
Te Araroa Police Station,"
            13 Rata St,Te Araroa"
Te Aroha Police Station,"
            53 Rewi St,Te Aroha"
Te Atatu Community Constable,"
            c/- Massey Community Policing Centre, ,390 Don Buck Rd, Te Atatu Peninsula,Henderson"
Te Awamutu Central Police Station,"
            75 Roche Street,Te Awamutu"
Te Kaha Police Station,"
            6755 SH 35,Te Kaha"
Te Karaka Police Station,"
            46 Cliff Rd,Te Karaka"
Te Kauwhata Police Station,"
            5 Scott Rd,Te Kauwhata"
